#sim_number, id, t_peak, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
883 , 136103 , 149.09550 , 9.09784 , 16.32559 , 244.88385 , 42.56741 , 2.72935 , 0.00000 , 48.97677 , 5.21398 , 5.00000 , 0.84520 , 16.34049
884 , 603983 , 295.48750 , 10.90494 , 8.76295 , 131.44427 , 60.80789 , 3.27148 , 0.00000 , 26.28885 , 3.56299 , 5.00000 , 0.91497 , 16.94340
885 , 799767 , 32.50429 , 10.07219 , 16.18655 , 242.79819 , 19.86382 , 3.02166 , 0.00000 , 48.55964 , 3.82914 , 5.00000 , 0.92063 , 17.71880
886 , 386662 , 150.50718 , 12.57668 , 7.79361 , 116.90412 , 38.50574 , 3.77301 , 0.00000 , 23.38082 , 6.20630 , 5.00000 , 0.93662 , 16.74970
887 , 593201 , 32.33915 , 8.84050 , 7.25466 , 108.81987 , 85.66288 , 2.65215 , 0.00000 , 21.76397 , 2.12616 , 5.00000 , 0.83126 , 18.45269
888 , 678492 , 157.08652 , 7.49447 , 15.38442 , 230.76632 , 11.95532 , 2.24834 , 0.00000 , 46.15326 , 3.48016 , 5.00000 , 0.83638 , 17.67490
889 , 81905 , 195.56024 , 7.99225 , 8.69873 , 130.48093 , 92.06688 , 2.39768 , 0.00000 , 26.09619 , 0.32121 , 5.00000 , 0.92019 , 16.09350
890 , 899822 , 163.13586 , 9.08846 , 12.84549 , 192.68233 , 55.34626 , 2.72654 , 0.00000 , 38.53647 , 5.98896 , 5.00000 , 0.82967 , 17.84217
891 , 923655 , 15.34102 , 11.55910 , 10.03824 , 150.57362 , 7.31841 , 3.46773 , 0.00000 , 30.11472 , 5.21486 , 5.00000 , 0.89001 , 18.46976
892 , 871599 , 293.94090 , 8.55387 , 11.07952 , 166.19280 , 8.05903 , 2.56616 , 0.00000 , 33.23856 , 2.73781 , 5.00000 , 0.92752 , 15.85732
893 , 151131 , 182.73228 , 9.81856 , 14.46829 , 217.02433 , 87.21888 , 2.94557 , 0.00000 , 43.40487 , 5.91908 , 5.00000 , 0.97731 , 16.73402
894 , 283811 , 158.57313 , 11.56505 , 12.24079 , 183.61190 , 4.50245 , 3.46952 , 0.00000 , 36.72238 , 0.97670 , 5.00000 , 0.88243 , 15.87541
895 , 350172 , 238.04449 , 14.18879 , 16.32228 , 244.83413 , 89.67029 , 4.25664 , 0.00000 , 48.96683 , 3.96737 , 5.00000 , 0.96427 , 15.74350
896 , 205595 , 36.79416 , 9.35156 , 19.70537 , 295.58054 , 26.81466 , 2.80547 , 0.00000 , 59.11611 , 5.72590 , 5.00000 , 0.94977 , 17.45160
