#sim_number, id, t_peak, C, D, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
21108 , 374113 , 287.00000 , 4.66978 , 0.74520 , 8.99791 , 7.44759 , 111.71389 , 59.06839 , 4.49895 , 0.00000 , 7.44759 , 3.92649 , 1.00000 , 0.83513 , 15.90103
21109 , 281077 , 147.00000 , 3.34720 , 0.58611 , 8.20255 , 13.18358 , 197.75373 , 44.71241 , 4.10128 , 0.00000 , 13.18358 , 3.01857 , 1.00000 , 0.81708 , 18.62380
21110 , 906502 , 86.00000 , 3.97360 , 0.97002 , 5.72478 , 19.06536 , 285.98038 , 81.95401 , 2.86239 , 0.00000 , 19.06536 , 1.38022 , 1.00000 , 0.97939 , 21.14004
21111 , 588545 , 64.00000 , 3.78477 , 0.51722 , 6.34587 , 9.05620 , 135.84293 , 80.49719 , 3.17293 , 0.00000 , 9.05620 , 5.66452 , 1.00000 , 0.93598 , 21.88756
21112 , 515586 , 140.00000 , 3.83953 , 0.59510 , 7.17046 , 14.89126 , 223.36885 , 18.50352 , 3.58523 , 0.00000 , 14.89126 , 4.42991 , 1.00000 , 0.89314 , 14.94410
21113 , 886712 , 284.00000 , 3.24078 , 0.68282 , 7.23485 , 14.43148 , 216.47219 , 42.55816 , 3.61743 , 0.00000 , 14.43148 , 5.60035 , 1.00000 , 0.98697 , 19.68965
21114 , 926186 , 17.00000 , 2.97253 , 0.62543 , 8.19312 , 7.20714 , 108.10708 , 27.84837 , 4.09656 , 0.00000 , 7.20714 , 4.30494 , 1.00000 , 0.90508 , 17.98481
21115 , 543134 , 91.00000 , 2.46188 , 0.42405 , 12.52487 , 16.66448 , 249.96726 , 1.93270 , 6.26243 , 0.00000 , 16.66448 , 3.43992 , 1.00000 , 0.96532 , 15.01489
21116 , 76283 , 277.00000 , 2.34860 , 0.95948 , 9.69114 , 11.13823 , 167.07338 , 80.92939 , 4.84557 , 0.00000 , 11.13823 , 4.13776 , 1.00000 , 0.97240 , 12.46311
21117 , 128776 , 26.00000 , 2.76314 , 0.56020 , 12.64438 , 8.62066 , 129.30995 , 97.03144 , 6.32219 , 0.00000 , 8.62066 , 5.67781 , 1.00000 , 0.93620 , 13.33118
21118 , 627182 , 133.00000 , 4.24699 , 0.75832 , 8.70715 , 13.34903 , 200.23544 , 86.91268 , 4.35357 , 0.00000 , 13.34903 , 4.96057 , 1.00000 , 0.86637 , 6.72964
21119 , 670592 , 35.00000 , 1.25431 , 0.62543 , 8.28147 , 16.28916 , 244.33741 , 81.68325 , 4.14074 , 0.00000 , 16.28916 , 3.28335 , 1.00000 , 0.82265 , 12.13246
21120 , 948421 , 244.00000 , 1.67439 , 0.56238 , 11.49061 , 12.19464 , 182.91965 , 2.76337 , 5.74530 , 0.00000 , 12.19464 , 5.99554 , 2.00000 , 0.91882 , 25.58433
21121 , 679682 , 56.00000 , 4.82218 , 0.85367 , 9.96520 , 16.20656 , 243.09838 , 91.92079 , 4.98260 , 0.00000 , 16.20656 , 6.26065 , 2.00000 , 0.96896 , 26.01725
21122 , 10311 , 226.00000 , 4.38861 , 0.98504 , 12.42916 , 15.82521 , 237.37811 , 57.88824 , 6.21458 , 0.00000 , 15.82521 , 1.07423 , 2.00000 , 0.90934 , 14.94685
21123 , 480686 , 264.00000 , 2.84562 , 0.64858 , 10.11254 , 17.84337 , 267.65057 , 21.32979 , 5.05627 , 0.00000 , 17.84337 , 3.10650 , 2.00000 , 0.84624 , 16.77324
21124 , 798466 , 265.00000 , 4.66217 , 0.44037 , 9.29319 , 14.06297 , 210.94448 , 90.61819 , 4.64659 , 0.00000 , 14.06297 , 5.36725 , 2.00000 , 0.87187 , 15.77110
21125 , 969123 , 184.00000 , 3.76831 , 0.57096 , 11.91483 , 19.79350 , 296.90252 , 21.69774 , 5.95742 , 0.00000 , 19.79350 , 2.90073 , 2.00000 , 0.84435 , 11.75562
21126 , 726931 , 373.00000 , 4.09147 , 0.26188 , 8.08953 , 10.46646 , 156.99684 , 49.27376 , 4.04477 , 0.00000 , 10.46646 , 6.06490 , 2.00000 , 0.88635 , 17.56246
21127 , 415271 , 354.00000 , 4.33292 , 0.37791 , 5.94742 , 10.99239 , 164.88588 , 9.36627 , 2.97371 , 0.00000 , 10.99239 , 1.32602 , 2.00000 , 0.83087 , 23.96552
21128 , 257251 , 80.00000 , 3.50626 , 0.94566 , 8.78530 , 12.19646 , 182.94686 , 95.96500 , 4.39265 , 0.00000 , 12.19646 , 2.14479 , 2.00000 , 0.83133 , 26.82103
