#sim_number, id, t_peak, amp_scale, sig_r, sig_f, new_length, offset, P, a_qpp, B, t_e, phi, sn, r, sn_red, bgd, grad_scale, t1, ?
9081 , 21153 , 236.16137 , 10.02281 , 0.96959 , 9.60305 , 238.10194 , 59.82930 , 15.87346 ,  , 7.01597 , 0.00000 , 15.87346 , 5.43539 , 5.00000 , 0.94349 , 15.54727 , quad , -3.41307 , 283.72165 
9082 , 24973 , 317.32264 , 8.99187 , 2.61408 , 16.08577 , 105.76891 , 68.71270 , 7.05126 ,  , 6.29431 , 0.00000 , 7.05126 , 1.54042 , 5.00000 , 0.86129 , 17.37006 , quad , -2.77896 , 367.40793 
9083 , 377882 , 202.13931 , 12.95281 , 1.26081 , 14.79647 , 159.91326 , 61.54584 , 10.66088 ,  , 9.06697 , 0.00000 , 10.66088 , 2.25816 , 5.00000 , 0.94817 , 15.75474 , quad , 8.11160 , 369.85417 
9084 , 136241 , 180.13661 , 12.65191 , 0.96500 , 13.95964 , 137.84139 , 59.78609 , 9.18943 ,  , 8.85633 , 0.00000 , 9.18943 , 4.99600 , 5.00000 , 0.93518 , 18.30513 , quad , 11.27228 , 240.71063 
9085 , 887653 , 208.59067 , 10.72064 , 0.65917 , 18.81663 , 254.82241 , 59.83950 , 16.98816 ,  , 7.50445 , 0.00000 , 16.98816 , 2.95348 , 5.00000 , 0.85678 , 17.57791 , quad , -5.67934 , 467.30470 
9086 , 759148 , 173.25002 , 10.21385 , 1.00172 , 16.63402 , 217.87879 , 5.70866 , 14.52525 ,  , 7.14969 , 0.00000 , 14.52525 , 5.43185 , 5.00000 , 0.88814 , 17.60954 , quad , -8.93943 , 440.31412 
9087 , 145509 , 241.01768 , 13.21328 , 1.87377 , 6.94821 , 183.84970 , 86.94642 , 12.25665 ,  , 9.24929 , 0.00000 , 12.25665 , 5.03153 , 5.00000 , 0.86767 , 16.29463 , quad , 8.65305 , 118.08838 
9088 , 432911 , 148.42968 , 7.79815 , 0.42355 , 5.70685 , 133.45110 , 90.04672 , 8.89674 ,  , 5.45871 , 0.00000 , 8.89674 , 2.43803 , 5.00000 , 0.96580 , 15.72540 , quad , 3.79991 , 61.73846 
9089 , 605078 , 181.73287 , 9.62773 , 0.60796 , 11.06233 , 219.31548 , 18.51515 , 14.62103 ,  , 6.73941 , 0.00000 , 14.62103 , 6.20886 , 5.00000 , 0.89843 , 16.99626 , quad , -7.89428 , 281.91835 
9090 , 176507 , 130.13045 , 9.96892 , 2.34818 , 16.54739 , 288.95722 , 92.44091 , 19.26381 ,  , 6.97824 , 0.00000 , 19.26381 , 2.71033 , 5.00000 , 0.97742 , 19.62196 , quad , -2.91164 , 19.39130 
